mast_label	mast_name	control_family	trace_count	trace_share_all	trace_share_failing
1.1	Disobey Task Specification	plan_action_verification	367	0.2955	0.3839
1.2	Disobey Role Specification	role_and_authority	10	0.0081	0.0105
1.3	Step Repetition	loop_and_termination	451	0.3631	0.4718
1.4	Loss of Conversation History	context_continuity	71	0.0572	0.0743
1.5	Unaware of Termination Conditions	loop_and_termination	346	0.2786	0.3619
2.1	Conversation Reset	context_continuity	50	0.0403	0.0523
2.2	Fail to Ask for Clarification	clarification_and_handoff	303	0.2440	0.3169
2.3	Task Derailment	plan_action_verification	224	0.1804	0.2343
2.4	Information Withholding	clarification_and_handoff	40	0.0322	0.0418
2.5	Ignored Other Agent's Input	clarification_and_handoff	0	0.0000	0.0000
2.6	Action-Reasoning Mismatch	plan_action_verification	495	0.3986	0.5178
3.1	Premature Termination	plan_action_verification	208	0.1675	0.2176
3.2	Weak Verification	plan_action_verification	216	0.1739	0.2259
3.3	No or Incorrect Verification	plan_action_verification	283	0.2279	0.2960
