case_id	case_label	source_id	source_tier	record_type	domain	supports_tax_model	primary_tax	secondary_tax	net_signal	autonomy_inference	key_signal	control_observation	impact_estimate	confidence	article_section	source_url
ATC-001	Agentic intent surge vs current deployment	SRC-007	T2_industry_survey	survey_metric	multi_industry	yes	governance_tax	human_bandwidth_tax	mixed	mixed	74% expect moderate+ agentic use in 2 years vs 23% today; n=3235	intent is scaling faster than operating controls	medium	medium_high	deployment_paradox	https://www.deloitte.com/content/dam/assets-zone3/us/en/docs/services/consulting/2026/state-of-ai-2026.pdf
ATC-002	Governance maturity deficit	SRC-007	T2_industry_survey	survey_metric	multi_industry	yes	governance_tax	none	tax	mixed	21% report mature AI governance model while deployment intent is much higher	governance readiness lags deployment programs	high	medium	governance_tax	https://www.deloitte.com/content/dam/assets-zone3/us/en/docs/services/consulting/2026/state-of-ai-2026.pdf
ATC-003	AI use broad but mostly pilots	SRC-008	T2_industry_survey	survey_metric	multi_industry	yes	governance_tax	none	tax	mixed	88% report AI use in at least one function; most still in pilot or experimentation	translation from use to scaled operating model remains constrained	medium	medium	deployment_paradox	https://www.mckinsey.com/capabilities/quantumblack/our-insights/the-state-of-ai
ATC-004	Tool-call concentration in software engineering	SRC-009	T4_vendor_research	platform_usage	ai_api_usage	yes	human_bandwidth_tax	governance_tax	mixed	level_2_to_3	998481 sampled tool calls; software engineering near 50%; other domains single-digit share	highest-autonomy adoption clusters where verification is easier	medium	medium	deployment_paradox	https://www.anthropic.com/research/measuring-agent-autonomy
ATC-005	Production agents stay bounded and human-evaluated	SRC-073	T3_preprint	field_study	multi_domain	yes	governance_tax	human_bandwidth_tax	tax	level_2_to_2_5	20 case studies and 306 practitioners; 68% <=10 steps before human intervention; 74% primarily human evaluation	teams manage reliability with bounded workflows and explicit human gates	medium	medium_high	deployment_paradox	https://arxiv.org/abs/2512.04123
ATC-006	Capability horizon grows quickly but external validity uncertain	SRC-039	T3_preprint	capability_benchmark	software_tasks	no	context	context	mixed	context	frontier model 50% task horizon around 50 minutes; doubling about every 7 months since 2019	capability growth increases autonomy pressure but does not remove control costs	medium	medium	deployment_paradox	https://arxiv.org/abs/2503.14499
ATC-007	Novices gain most from AI assistant	SRC-060	T1_working_paper	quasi_experiment	customer_support	yes	human_bandwidth_tax	none	mixed	level_1_to_2	n=5179; +14% average productivity; +34% for novice or low-skill; minimal impact on experienced workers	output increases are heterogeneous and may shift review burden to experienced staff	medium	high	human_bandwidth_tax	https://www.nber.org/papers/w31161
ATC-008	Core developers absorb rework burden	SRC-050	T3_preprint	observational_study	oss_software_dev	yes	human_bandwidth_tax	incident_tax	tax	level_1_to_2	peripheral contributors gain most; core developers review +6.5%; core original code output -19% after Copilot introduction	AI-generated volume increases technical debt and expert maintenance load	high	medium	human_bandwidth_tax	https://arxiv.org/abs/2510.10165
ATC-009	Coordination overhead rises with AI coding assistance	SRC-049	T3_preprint	observational_study	oss_software_dev	yes	human_bandwidth_tax	none	mixed	level_1_to_2	project-level contributions +5.9% while coordination time for integration +8%	throughput gains can coexist with higher integration friction	medium	medium	human_bandwidth_tax	https://arxiv.org/abs/2410.02091
ATC-010	Retry-loop overspend in procurement agent	SRC-026	T4_vendor_postmortem	incident_postmortem	procurement	yes	incident_tax	governance_tax	tax	level_3	12 repeated purchases at $399 in 3 minutes; total loss $4788; trigger was retry loop and per-transaction policy checks	controls missing: circuit breaker, velocity checks, aggregate limits, state sync	high	medium_high	incident_tax	https://www.useproxy.ai/blog/ai-agent-overspend-postmortem
