label_a	label_b	pair_count	pair_share_failing	family_a	family_b	enterprise_interpretation
1.3	1.5	299	0.3128	loop_and_termination	loop_and_termination	State-tracking and stop-condition failures compound into stuck runs and reviewer babysitting.
1.3	2.6	236	0.2469	loop_and_termination	plan_action_verification	Looping or stalled workflows raise the chance of unchecked or misaligned actions reaching execution.
1.1	2.6	234	0.2448	plan_action_verification	plan_action_verification	Reasoning, execution, and checking failures compound into escaped bad actions.
1.5	2.6	213	0.2228	loop_and_termination	plan_action_verification	Looping or stalled workflows raise the chance of unchecked or misaligned actions reaching execution.
2.2	2.6	206	0.2155	clarification_and_handoff	plan_action_verification	Poor handoffs raise the odds that wrong reasoning or unchecked actions escape.
1.3	2.2	180	0.1883	loop_and_termination	clarification_and_handoff	Missing clarification plus weak stop logic create retries, stalls, and reviewer babysitting.
1.5	2.2	176	0.1841	loop_and_termination	clarification_and_handoff	Missing clarification plus weak stop logic create retries, stalls, and reviewer babysitting.
2.3	2.6	164	0.1715	plan_action_verification	plan_action_verification	Reasoning, execution, and checking failures compound into escaped bad actions.
2.6	3.3	164	0.1715	plan_action_verification	plan_action_verification	Reasoning, execution, and checking failures compound into escaped bad actions.
1.3	3.3	161	0.1684	loop_and_termination	plan_action_verification	Looping or stalled workflows raise the chance of unchecked or misaligned actions reaching execution.
1.3	2.3	159	0.1663	loop_and_termination	plan_action_verification	Looping or stalled workflows raise the chance of unchecked or misaligned actions reaching execution.
2.6	3.1	157	0.1642	plan_action_verification	plan_action_verification	Reasoning, execution, and checking failures compound into escaped bad actions.
1.5	2.3	155	0.1621	loop_and_termination	plan_action_verification	Looping or stalled workflows raise the chance of unchecked or misaligned actions reaching execution.
2.2	2.3	143	0.1496	clarification_and_handoff	plan_action_verification	Poor handoffs raise the odds that wrong reasoning or unchecked actions escape.
1.1	2.2	142	0.1485	plan_action_verification	clarification_and_handoff	Poor handoffs raise the odds that wrong reasoning or unchecked actions escape.
1.1	3.3	135	0.1412	plan_action_verification	plan_action_verification	Reasoning, execution, and checking failures compound into escaped bad actions.
1.1	1.5	126	0.1318	plan_action_verification	loop_and_termination	Looping or stalled workflows raise the chance of unchecked or misaligned actions reaching execution.
1.3	3.1	125	0.1308	loop_and_termination	plan_action_verification	Looping or stalled workflows raise the chance of unchecked or misaligned actions reaching execution.
1.1	2.3	124	0.1297	plan_action_verification	plan_action_verification	Reasoning, execution, and checking failures compound into escaped bad actions.
1.1	1.3	122	0.1276	plan_action_verification	loop_and_termination	Looping or stalled workflows raise the chance of unchecked or misaligned actions reaching execution.
1.5	3.3	118	0.1234	loop_and_termination	plan_action_verification	Looping or stalled workflows raise the chance of unchecked or misaligned actions reaching execution.
1.5	3.1	113	0.1182	loop_and_termination	plan_action_verification	Looping or stalled workflows raise the chance of unchecked or misaligned actions reaching execution.
1.1	3.1	99	0.1036	plan_action_verification	plan_action_verification	Reasoning, execution, and checking failures compound into escaped bad actions.
