mast_label	mast_name	control_family	primary_tax	secondary_tax	primary_v2_subcomponent	secondary_v2_subcomponent	enterprise_translation	default_control_response	scorecard_trigger
1.1	Disobey Task Specification	plan_action_verification	incident_tax	governance_tax	escape_likelihood	ongoing_assurance	Agents violate task constraints and can produce wrong outputs that reach real systems.	Add task-spec assertions, structured output contracts, and verification before any write action.	Repeated 1.1 evidence floors escape_likelihood at 3; with action_surface >= 3 treat escape_likelihood as at least 4.
1.2	Disobey Role Specification	role_and_authority	governance_tax	human_bandwidth_tax	fixed_enablement	coordination_drag	Agents blur decision rights or act outside assigned authority, creating unsafe ownership gaps.	Define explicit role authority, approval ownership, and action permissions before expanding autonomy.	Any 1.2 evidence floors fixed_enablement at 3.
1.3	Step Repetition	loop_and_termination	human_bandwidth_tax	governance_tax	queue_fragility	fixed_enablement	Agents repeat completed work, inflating run time, review load, and queue instability.	Add durable state tracking, completed-step markers, and retry guards.	Repeated 1.3 evidence floors queue_fragility at 3.
1.4	Loss of Conversation History	context_continuity	human_bandwidth_tax	governance_tax	coordination_drag	fixed_enablement	Agents lose working context and force human or system re-anchoring to recover progress.	Add context snapshots, handoff payloads, and recovery checkpoints between steps.	Repeated 1.4 evidence floors coordination_drag at 3.
1.5	Unaware of Termination Conditions	loop_and_termination	human_bandwidth_tax	governance_tax	queue_fragility	fixed_enablement	Agents miss stopping conditions and keep consuming supervision and compute after the useful endpoint.	Add explicit stop rules, maximum-turn guards, and end-state tests.	Repeated 1.5 evidence floors queue_fragility at 3.
2.1	Conversation Reset	context_continuity	human_bandwidth_tax	governance_tax	coordination_drag	fixed_enablement	Dialogs restart unexpectedly and create repeated handoff recovery work.	Add resumable state, restart detection, and handoff continuity checks.	Repeated 2.1 evidence floors coordination_drag at 3.
2.2	Fail to Ask for Clarification	clarification_and_handoff	human_bandwidth_tax	incident_tax	coordination_drag	escape_likelihood	Agents proceed with missing information instead of creating a safe clarification path.	Add clarification thresholds, missing-data prompts, and exception routing before execution.	Repeated 2.2 evidence floors coordination_drag at 3.
2.3	Task Derailment	plan_action_verification	incident_tax	governance_tax	escape_likelihood	ongoing_assurance	Workflow effort drifts off-task and raises the odds of wrong or irrelevant downstream actions.	Add objective checks, intermediate goal validation, and route-back controls.	Repeated 2.3 evidence floors escape_likelihood at 3; with action_surface >= 3 treat escape_likelihood as at least 4.
2.4	Information Withholding	clarification_and_handoff	human_bandwidth_tax	incident_tax	coordination_drag	escape_likelihood	Critical information stays trapped in one agent or step, forcing rework and raising failure odds.	Add message contracts, required handoff fields, and completion gates for shared context.	Repeated 2.4 evidence floors coordination_drag at 3.
2.5	Ignored Other Agent's Input	clarification_and_handoff	human_bandwidth_tax	incident_tax	coordination_drag	escape_likelihood	Agents disregard peer input and continue with stale or incomplete plans.	Add acknowledgment requirements, merge or resolve steps, and escalation on disagreement.	Repeated 2.5 evidence floors coordination_drag at 3.
2.6	Action-Reasoning Mismatch	plan_action_verification	incident_tax	governance_tax	escape_likelihood	ongoing_assurance	The action taken diverges from the reasoning or plan, making escaped bad writes more likely.	Add action-plan consistency checks, tool-call verification, and executable preconditions.	Repeated 2.6 evidence floors escape_likelihood at 3; with action_surface >= 3 treat escape_likelihood as at least 4.
3.1	Premature Termination	plan_action_verification	incident_tax	governance_tax	escape_likelihood	ongoing_assurance	Workflow stops before gathering required information or completing required checks.	Add completion criteria, final-state assertions, and explicit verification before termination.	Repeated 3.1 evidence floors escape_likelihood at 3; with action_surface >= 3 treat escape_likelihood as at least 4.
3.2	Weak Verification	plan_action_verification	incident_tax	governance_tax	escape_likelihood	ongoing_assurance	Checks exist but are too shallow to catch subtle or important failures before release.	Strengthen evaluation depth, test coverage, and reviewer obligations for high-risk outputs.	Repeated 3.2 evidence floors ongoing_assurance at 3 and escape_likelihood at 3; with action_surface >= 3 treat escape_likelihood as at least 4.
3.3	No or Incorrect Verification	plan_action_verification	incident_tax	governance_tax	escape_likelihood	ongoing_assurance	Outputs reach the next step or the real world without a reliable check that they are correct.	Add mandatory verification steps, executable validation, and block-on-failure gates.	Repeated 3.3 evidence floors ongoing_assurance at 3 and escape_likelihood at 3; with action_surface >= 3 treat escape_likelihood as at least 4.
